Features,المميزات
About the brand,حول العلامة التجارية
You added %1 to your shopping cart.,لقد أضفت٪ 1 إلى سلة التسوق الخاصة بك.
"You added %1 to your <a href=""%2"">shopping cart</a>.","لقد أضفت %1 <a href=""%2""> إلى عربة التسوق</a>."
This is a required field.,حقل إجباري
My Account,حسابي
Enter your email address,أدخل عنوان بريدك الالكتروني
Search entire store here...,إبحث في المتجر
Log In,تسجيل الدخول
Customer Login,تسجيل دخول العميل
Sign Up,سجل
Logout,تسجيل الخروج
Recently Viewed,تمت مشاهدته مؤخرا
Sort By,ترتيب حسب
Add to Cart,أضف إلى السلة
Add to cart,أضف إلى السلة
Add to Quote,اضف الى عرض سعر
Saudi Arabia,المملكة العربية السعودية
Related Products,منتجات ذات صله
Downloads,التنزيلات
specifications,المواصفات
About Product,عن المنتج
We deliver to,نحن نشحن الى
related video,فيديو ذو صلة
Update Shopping Cart,تحديث سلة الشراء
Summary,ملخص
Newly Arrived,وصل حديثا
Compare,قارن
Pay With,ادفع عن طريق
Subtotal,الإجمالي
Grand Total,المبلغ الإجمالي
Price Details,تفاصيل السعر
Remove,إزالة
Estimate Shipping and Tax,تقدير الشحن والضريبة
In Stock,متوفر
Qty,الكمية
Price,السعر
Item,عنصر
Cancel,إلغاء
Please enter your details below to complete your purchase,الرجاء إدخال التفاصيل الخاصة بك أدناه لإكمال عملية الشراء
Checkout,الدفع
First Name,الاسم الاول
Last Name,إسم العائلة
City,المدينة
State/Province,المحافظة
Place Order,إتمام الطلب
Items in Cart,العناصر في سلة التسوق
Shipping,الشحن
Order Total,إجمالي الطلب
Thank you for your purchase!,شكرا لك على الشراء!
We'll email you an order confirmation with details and tracking info.,سنرسل لك بريد الكتروني بتاكيد الطلب وتفاصيلة ، مع بيانات تتبع الطلب.
We can't find products matching the selection.,لا يمكننا العثور علي منتجات مطابقة للاختيار
Sign In,تسجيل الدخول
Create Account,إنشاء حساب
Wishlist,الرغبات
My Bag,حقيبتي
Search,بحث
New In,الجديد في
Shop,تسوق
About,عن
ABOUT,عن
Blog,المدونة
BLOG,المدونة
SALE,تخفيضات
SHOP BY CATEGORY,تسوق حسب الاقسام
BLOGS,المدونات
Thank you for your subscription.,شكرا لاشتراكك.
Thank you for your interest!,شكرا لك على اهتمامك!
Already have an account? Welcome back!,هل لديك حساب؟ مرحبا بعودتك!
Register using your name and email.,سجّل باستخدام اسمك وبريدك الإلكتروني.
Forgot Password?,هل نسيت كلمة المرور؟
Keep me up to date on news & exclusive offers.,إطلعني بالمستجدات الأخبار والعروض الحصرية.
Email Address,البريد الكتروني
Password,كلمه المرور
Price Low to High,السعرمن الأدنى للاعلى
Size,مقاس
Color,اللون
Category,الفئة
Accessories,ملحقات
Bottoms,الأسفل
Home,الصفحة الرئيسية
Load Previous,تحميل السابق
Load next,تحميل التالي
Description,الوصف
Product Specification,مواصفات المنتج
Editor’s Note & Styling Tips,ملاحظة المحرر ونصائح التصميم
Delivery,توصيل
Returns,إسترجاع
Help & Advice,المساعدة والارشادات
Featured Product,منتج مميز
No,لا
Yes,نعم
No Reviews Found,لم يتم العثور علي مراجعات
Write a Review,أكتب تقييم
Write Your Review,اكتب مراجعتك ، تقييمك
Nickname,لقب
Review,مراجعة
Submit Review,إرسال مراجعة
You,أنت
added,تمت الإضافة
Size Guide,دليل المقاسات
Read All,اقرأ الكل
Move to Wishlist,نقل إلي قائمة الرغبات
Update Bag,تحديث الحقيبة
Flat Rate,سعر موحد
Fixed,سعر ثابت
Order Summary,ملخص الطلب
Bag Total,مجموع الحقيبة
Review & Payments,المراجعة & المدفوعات
Shipping Address,عنوان الشحن
Company,الشركة
Newsletters,النشرات الإخبارية
Edit,تعديل
You subscribe to General Subscription.,شكرا لتسجيلكم في النشرة البريدية
Change Password,تغيير كلمة المرور
Manage Addresses,إدارة العناوين
You have not set a default billing address,لم تقم بتعيين عنوان إرسال فواتير افتراضي
You have not set a default shipping address,لم تقم بتعيين عنوان الشحن الافتراضي
Edit Address,تعديل العنوان
My Orders,طلباتي
My Wish List,قائمة الرغبات
Newsletter Subscriptions,الاشتراك في النشرات البريدية
Address,العنوان
Street Address,عنوان الشارع
Add New Address,أضف عنوان جديد
Save Address,حفظ العنوان
Edit Account Information,تعديل معلومات الحساب
Change Email,تغيير البريد الإالكتروني
Save,حفظ
You have submitted no reviews,لم تقم بتقديم أي مراجعات
General Subscription,إشتراك عام
Newsletter Subscription,الاشتراك في النشرة الإخبارية
Subscription option,خيار الاشتراك
Payment,دفع
Check / Money order,تحقق / حوالة مالية
My billing and shipping address are the same,عنوان الفواتير والشحن الخاص بي هو نفسه
Have a promocode?,هل لديك كود خصم؟
Thank You For Your Order,شكرا لطلبك
Your order number is:,رقم الطلب الخاص بك هو:
We'll email you an order confirmation with details,سنرسل لك رسالة تأكيد بالبريد الإلكتروني مع التفاصيل
Action,إجراء
Status,الحالة
Date,تاريخ
Pending,قيد المراجعة
Default Addresses,العناوين الافتراضية
Change Billing Address,تغيير عنوان الفواتير
Change Shipping Address,تغيير عنوان الشحن
Additional Address Entries,إدخال عنوان إضافي
You have no other address entries in your address book,ليس لديك عناوين أخرى في دفتر العناوين الخاص بك
Please select one of each of the ratings above,الرجاء أختيار تقييم
Created,تم الانشاء
My Recent Reviews,مراجعاتي الحديثة
YOU ARE SIGNED OUT,تم تسجيل خروجك
Continue as a Guest,إستمر كزائر
Checkout using your account,الدفع باستخدام حسابك
continue as a guest,إستمر كزائر
New Address,عنوان جديد
Search results for '%s',نتائج البحث عن '%s'
Your search returned no results,لا توجد نتائج لعملية بحثك
Edit Cart,تعديل السلة
Login,تسجيل الدخول
Create an account?,انشئ حساب؟
Cart Subtotal,المجموع الفرعي لسلة التسوق
Flat Rate - Fixed,سعر موحد - ثابت
OK,حسنا
Phone,رقم الهاتف
State,المحافظة
Delete,حذف
about us,من نحن
Privacy Policy,سياسة الخصوصية
Terms and Conditions,الأحكام والشروط
CUSTOMER SERVICES,خدمة العملاء
IN THE SPOTLIGHT,محط الأنظار
SOCIAL,اجتماعي
STAY CONNECTED,ابق على اتصال
Made by Magneto It Solutions,صمم بواسطة Magneto It Solutions
Your Account,حسابك
Delivery Policies,سياسات التوصيل
Return Policy,سياسة الأسترجاع
Contact Us,تواصل معنا
SOLD OUT,نفدت الكمية
Sale,تخفيضات
Occasion,المناسبة
Pattern,نمط
Type,نوع
YOU MAY ALSO LIKE,ربما يعجبك أيضا
Length,الطول
SKU,كود المنتج
here,هنا
to continue shopping.,لمواصلة التسوق.
View Details,عرض التفاصيل
Recent Posts,المشاركات الاخيرة
Archive,أرشيف
Posted:,تم النشر:
Read more &#187,اقرأ المزيد &#187
Read more »,اقرأ المزيد »
Contact us,تواصل معنا
Search results for:,نتائج البحث عن:
You must login or register to add items to your wishlist.,يجب عليك تسجيل الدخول أو التسجيل لإضافة عناصر إلى قائمة الأمنيات.
Jot us a note and we’ll get back to you soon.,اترك لنا ملاحظة وسنعاود الاتصال بك قريبًا.
Credit Card Number,رقم بطاقه الائتمان
Card Verification Number,رقم التحقق من البطاقة
Expiration Date,تاريخ الإنتهاء
You have submitted no reviews.,لم تقم بتقديم أي مراجعات.
Save in address book,حفظ في دفتر العناوين
Address*,العنوان
Ship Here,الشحن هنا
Ship here,الشحن هنا
Current Password,كلمة المرور الحالية
New Password,كلمة مرور جديدة
Confirm New Password,تأكيد كلمة المرور الجديدة
Order Status,حالة الطلب
Updates Sent to,تم إرسال التحديثات إلى
Payment Mode,طريقة الدفع
Placed On,تاريخ انشاء الطلب
You have no items in your quote cart.,لا يوجد لديك عناصر في عرض السعر الخاص بك.
Grand Total to be Charged,المجموع الكلي المطلوب
Settings,الإعدادات
You will be redirected to the PayPal website.,سيتم توجيهك إلى موقع باي بال الإلكتروني.
Continue to PayPal,تابع إلى باي بال
Add To Wishlist,أضف إلى قائمة الرغبات
You added,لقد أضفت
shopping cart,سلة التسوق
Customer Service,خدمة العملاء
Quantity,الكمية
Product Details,تفاصيل المنتج
Shipping & Return,الشحن والآسترجاع
More Information,المواصفات
Product Description,وصف المنتج
Reviews,التقييمات
Add New Review,أضف مراجعة جديدة
Facebook,فيسبوك
(Flat Rate - Fixed),(سعر موحد - ثابت)
Shipping Methods,طرق الشحن
TOP SELLING PRODUCTS,أكثر المنتجات مبيعاً
FRESH FROM THE BLOG,الجديد من المدونة
Position,موضع
RECENTLY,مؤخرا
VIEWED & MORE,تمت المشاهدة و المزيد
Continue to Payment,الاستمرار للدفع
Flat,مسطح
Rate,تقييم
Payment Method:,طريقة الدفع:
Search for Products,البحث عن المنتجات
My Product Reviews,تقييماتي للمنتجات
You aren't subscribed to our newsletter.,أنت غير مشترك في نشرتنا الإخبارية.
It's a default billing address.,عنوان إرسال الفواتير الافتراضي.
It's a default shipping address.,عنوان الشحن الافتراضي.
Email,البريد الإلكتروني
You have not submitted any review yet.,لم تقم بتقديم أي مراجعة بعد.
%1 has been removed from your Wish List.,%1 تم إزالته من قائمة رغباتك.
Loyalty Check,فحص الولاء
Please type the letters and numbers below,يرجى كتابة الحروف والأرقام أدناه
Forgot Password,نسيت كلمة المرور
Please enter your email address below to receive a password reset link,يرجى إدخال عنوان بريدك الإلكتروني أدناه لتلقي رابط إعادة تعيين كلمة المرور
Order,طلب
Reorder,إعادة الطلب
Show,عرض
Are you sure you would like to remove this item from the shopping cart?,هل أنت متأكد من أنك تريد إزالة هذا المنتج من سلة التسوق؟
Jot us a note and we’ll get back to you as quickly as possible.,اترك لنا ملاحظة وسنوافيك بالرد بأسرع وقت ممكن.
Name,الاسم
Submit,إرسال
Write Us,اكتب لنا
Please enter a valid email address,من فضلك أدخل بريد إلكتروني صحيح
Search posts here...,ابحث عن المنشورات هنا...
Next,التالى
Comments,تعليقات
Add a comment...,اضف تعليق...
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","الحد الأدنى لعدد فئات الأحرف في كلمة المرور هو 3. فئات الأحرف: الحروف الصغيرة، الحروف الكبيرة، الأرقام، الرموز الخاصة."
You can create an account after checkout.,يمكنك إنشاء حساب بعد إستكمال الطلب .
Credit Card,بطاقة إئتمانية
We have saved your subscription.,لقد قمنا بحفظ اشتراكك.
We have updated your subscription.,لقد قمنا بتحديث اشتراكك.
We have removed your newsletter subscription.,لقد أزلنا اشتراكك في النشرة الإخبارية.
All,الكل
Most Recent,الأحدث
On Sale,للبيع
Price - Low To High,السعر - من الأقل إلى الأعلى
Price - High To Low,السعر - من الأعلى إلى الأقل
Now Shopping by,الآن تسوق حسب
RECENTLY VIEWED PRODUCTS,المنتجات التي تم عرضها مؤخراً
Compare Products,مقارنة المنتجات
Product,المنتج
Select a Promo Offer,حدد عرضًا ترويجيًا
Cash On Delivery,الدفع عن الاستلام
Title,عنوان التقييم
Complete,مكتمل
Search results for,نتائج البحث عن
Remember Me,تذكرنى
Alerts,التنبيهات
ALERTS,التنبيهات
Store Credit,رصيد المتجر
My Support Tickets,تذاكر الدعم الخاصة بي
My Quotes,عروض الأسعار الخاصة بي
Support,الدعم
Write Your Own Review,قيم المنتج
Move to Cart,نقل إلى السلة
Current Balance,الرصيد الحالي
Your quote request has been received!,تم استلام طلب عرض السعر الخاص بك!
Quote #,عرض سعر رقم
Quote Total,مجموع عرض السعر
Create ticket,إنشئ تذكرة
Department,قسم
Priority,الأولوية
Subject,الموضوع
Message,رسالة
Brief description about your query...,وصف موجز حول استفسارك ...
Write subject here,اكتب الموضوع هنا
Open,افتح
Google,جوجل
Log in with an existing account,تسجيل الدخول باستخدام حساب موجود
My Quote Cart,سلة عرض الاسعار الخاصة بي
Quote Cart,سلة عروض الأسعار
Enter description…,أدخل وصف ...
Remarks,مراجع
Quote # %1,عرض سعر رقم %1
Quote Summary,ملخص عرض السعر
Update Quote,تحديث عرض السعر
Clear Quote,مسح عرض الاسعار
Add Note,اضف ملاحظة
Tax,ضريبة
order Id,رقم الطلب
Track Order,تتبع الطلب
Tracking Information,معلومات التتبع
Cart Total,مجموع السلة
You added product %1 to the comparison list.,لقد أضفت المنتج٪ 1 إلى قائمة المقارنة.
Sales team,فريق المبيعات
My Credit History,تاريخ بطاقة الإئتمان الخاصه بي
Amount,المبلغ
You added %1 to your quote cart.,لقد أضفت %1 إلى عرض السعر الخاصة بك.
View,عرض
Approved Price,السعر المعتمد
Canceled,تم الإلغاء
Approved,مقبول
Change Mobile Number,تغيير رقم الهاتف
Change Email and Mobile Number,تغيير البريد الإلكتروني ورقم الهاتف
"Change Email,Password and Number","تغيير البريد الإلكتروني وكلمة المرور ورقم الهاتف"
Change Email and Password,تغيير البريد الإلكتروني وكلمة المرور
Change Mobile Number and Password,تغيير رقم الهاتف وكلمة المرور
Use as my default billing address,استخدم كعنوان الفواتير الافتراضي الخاص بي
Use as my default shipping address,استخدم كعنوان الشحن الافتراضي الخاص بي
There are not enough products in stock,عفوا لا تتوفر هذه الكمية في المخزون
Machine Position,موضع الآلة
Body Material,مادة الهيكل
"Search for products, brands, etc…","ابحث عن المنتجات، العلامات التجارية، إلخ..."
Please enter a valid email address (Ex: johndoe@domain.com).,يرجى إدخال عنوان بريد إلكتروني صالح (مثال: johndoe@domain.com).
Brands,العلامات الجارية
Kuwait,الكويت
the United Arab Emirates,الإمارات العربية المتحدة
Qatar,قطر
Bahrain,البحرين
Oman,سلطنة عمان
Search results for: '%1',نتائج البحث عن: '%1'
%1 has been moved to your wish list.,تم نقل %1 إلى قائمة الرغبات الخاصة بك.
Your search returned no products.,لا توجد نتائج لعملية البحث.
Not yet calculated,لم يتم الحساب بعد
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","يوجد بالفعل حساب بهذا البريد الإلكتروني. إذا كنت متأكدًا من أنه بريدك الإلكتروني، <a href=""%1"">اضغط هنا</a> لاستعادة كلمة المرور والوصول إلى حسابك."
Website,الموقع الإلكتروني
"%1 Item(s)","%1 عنصر (عناصر)"
continue,استمر
3. Payment Method,3. طريقة الدفع
Submit Quote,إرسال عرض السعر
Your Quote Request # is:,طلب عرض السعر الخاص بك هو:
We'll email you a Quote Request confirmation email with a link to track progress.,سنرسل إليك رسالة بريد إلكتروني لتأكيد طلب  عرض السعر مع رابط لتتبع الطلب .
Select Your Interest,اختر اهتمامك
Your Quote Request # is: %1.,طلب عرض السعر الخاص بك هو: %1.
Refunded #%3,تم استرداد #%3
Order # %1,رقم الطلب %1
Shipping & Handling,الشحن و التسليم
"Click <a href=""%1"">here</a> to continue shopping.","اضغط <a href="%1">هنا</a> لمتابعة التسوق."
"Request No","رقم الطلب"
"Short Description","وصف مختصر"
"has been added to your Wish List.","تمت إضافته إلى قائمة الرغبات الخاصة بك."
"Removed Successfully From The Whistlist","تمت إزالته بنجاح من قائمة الرغبات"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","عملية تسجيل الدخول إلى الحساب غير صحيحة أو تم تعطيل حسابك مؤقتًا. الرجاء الانتظار والمحاولة مرة أخرى لاحقًا."
"You removed product %1 from the comparison list.","لقد ازلت المنتج %1 من قائمة المقارنة."
"Shipping & Handling (Free Shipping – Free)","الشحن والتسليم (شحن مجاني – مجاني)"
"Are you sure you want to remove this item from your Compare Products list?","هل أنت متأكد من أنك تريد إزالة هذا المنتج من قائمة مقارنة المنتجات الخاصة بك؟"
"You have no items to compare.","لا توجد عناصر للمقارنة."
"You added product %1 to the <a href=""%2"">comparison list</a>.","قمت بإضافة المنتج %1 إلى <a href=""%2"">قائمة المقارنة</a>."
"SAR","ريال سعودي"
"Change","تغيير"
"Popular Searches","عمليات البحث الشائعة"
"Recent Searches","عمليات البحث الأخيرة"
and above,و ما فوق
Status:,الحالة:
Order ID #,رقم الطلب #
Placed on,تاريخ انشاء الطلب
Order ID,رقم الطلب
Order ID:,رقم الطلب:
You canceled the coupon code.,لقد ألغيت رمز القسيمة.
This email address is already assigned to another user.,تم تخصيص عنوان البريد الإلكتروني هذا لمستخدم آخر بالفعل.
